DISTRICT,DD800A001222R,DD800A001322R,DD800A001S22R,DD800AC01222R,DD800AC01322R,DD800AC01S22R,DD800AM01222R,DD800AM01322R,DD800AM01S22R,DD800AR01222R,DD800AR01322R,DD800AR01S22R,DD800AS01222R,DD800AS01322R,DD800AS01S22R,DDA00A001222R,DDA00A001322R,DDA00A001S22R,DDA00AC01222R,DDA00AC01322R,DDA00AC01S22R,DDA00AM01222R,DDA00AM01322R,DDA00AM01S22R,DDA00AR01222R,DDA00AR01322R,DDA00AR01S22R,DDA00AS01222R,DDA00AS01322R,DDA00AS01S22R,DDC00A001222R,DDC00A001322R,DDC00A001S22R,DDC00AC01222R,DDC00AC01322R,DDC00AC01S22R,DDC00AM01222R,DDC00AM01322R,DDC00AM01S22R,DDC00AR01222R,DDC00AR01322R,DDC00AR01S22R,DDC00AS01222R,DDC00AS01322R,DDC00AS01S22R,DDJ00A001222R,DDJ00A001322R,DDJ00A001S22R,DDJ00AC01222R,DDJ00AC01322R,DDJ00AC01S22R,DDJ00AM01222R,DDJ00AM01322R,DDJ00AM01S22R,DDJ00AR01222R,DDJ00AR01322R,DDJ00AR01S22R,DDJ00AS01222R,DDJ00AS01322R,DDJ00AS01S22R,DDK00A001222R,DDK00A001322R,DDK00A001S22R,DDK00AC01222R,DDK00AC01322R,DDK00AC01S22R,DDK00AM01222R,DDK00AM01322R,DDK00AM01S22R,DDK00AR01222R,DDK00AR01322R,DDK00AR01S22R,DDK00AS01222R,DDK00AS01322R,DDK00AS01S22R,DDL00A001222R,DDL00A001322R,DDL00A001S22R,DDL00AC01222R,DDL00AC01322R,DDL00AC01S22R,DDL00AM01222R,DDL00AM01322R,DDL00AM01S22R,DDL00AR01222R,DDL00AR01322R,DDL00AR01S22R,DDL00AS01222R,DDL00AS01322R,DDL00AS01S22R,DDQ00A001222R,DDQ00A001322R,DDQ00A001S22R,DDQ00AC01222R,DDQ00AC01322R,DDQ00AC01S22R,DDQ00AM01222R,DDQ00AM01322R,DDQ00AM01S22R,DDQ00AR01222R,DDQ00AR01322R,DDQ00AR01S22R,DDQ00AS01222R,DDQ00AS01322R,DDQ00AS01S22R,DDT00A001222R,DDT00A001322R,DDT00A001S22R,DDT00AC01222R,DDT00AC01322R,DDT00AC01S22R,DDT00AM01222R,DDT00AM01322R,DDT00AM01S22R,DDT00AR01222R,DDT00AR01322R,DDT00AR01S22R,DDT00AS01222R,DDT00AS01322R,DDT00AS01S22R,DDU00A001222R,DDU00A001322R,DDU00A001S22R,DDU00AC01222R,DDU00AC01322R,DDU00AC01S22R,DDU00AM01222R,DDU00AM01322R,DDU00AM01S22R,DDU00AR01222R,DDU00AR01322R,DDU00AR01S22R,DDU00AS01222R,DDU00AS01322R,DDU00AS01S22R,DDX00A001222R,DDX00A001322R,DDX00A001S22R,DDX00AC01222R,DDX00AC01322R,DDX00AC01S22R,DDX00AM01222R,DDX00AM01322R,DDX00AM01S22R,DDX00AR01222R,DDX00AR01322R,DDX00AR01S22R,DDX00AS01222R,DDX00AS01322R,DDX00AS01S22R,DDY00A001222R,DDY00A001322R,DDY00A001S22R,DDY00AC01222R,DDY00AC01322R,DDY00AC01S22R,DDY00AM01222R,DDY00AM01322R,DDY00AM01S22R,DDY00AR01222R,DDY00AR01322R,DDY00AR01S22R,DDY00AS01222R,DDY00AS01322R,DDY00AS01S22R,DDZ00A001222R,DDZ00A001322R,DDZ00A001S22R,DDZ00AC01222R,DDZ00AC01322R,DDZ00AC01S22R,DDZ00AM01222R,DDZ00AM01322R,DDZ00AM01S22R,DDZ00AR01222R,DDZ00AR01322R,DDZ00AR01S22R,DDZ00AS01222R,DDZ00AS01322R,DDZ00AS01S22R,DISTNAME,DNB00A001222R,DNB00A001322R,DNB00A001S22R,DNB00AC01222R,DNB00AC01322R,DNB00AC01S22R,DNB00AM01222R,DNB00AM01322R,DNB00AM01S22R,DNB00AR01222R,DNB00AR01322R,DNB00AR01S22R,DNB00AS01222R,DNB00AS01322R,DNB00AS01S22R,DNE00A001222R,DNE00A001322R,DNE00A001S22R,DNE00AC01222R,DNE00AC01322R,DNE00AC01S22R,DNE00AM01222R,DNE00AM01322R,DNE00AM01S22R,DNE00AR01222R,DNE00AR01322R,DNE00AR01S22R,DNE00AS01222R,DNE00AS01322R,DNE00AS01S22R,DNT00A001222R,DNT00A001322R,DNT00A001S22R,DNT00AC01222R,DNT00AC01322R,DNT00AC01S22R,DNT00AM01222R,DNT00AM01322R,DNT00AM01S22R,DNT00AR01222R,DNT00AR01322R,DNT00AR01S22R,DNT00AS01222R,DNT00AS01322R,DNT00AS01S22R
"'109907",36,11,67,46,13,76,22,6,54,42,14,74,40,17,75,35,10,66,45,12,73,21,6,54,42,13,72,41,15,77,27,5,55,40,5,70,14,2,44,33,10,59,40,0,70,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,5,54,32,4,60,15,2,47,32,8,56,40,0,70,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,14,65,45,9,64,35,5,60,40,25,70,.,.,.,13,1,42,20,0,60,3,0,28,16,3,47,33,0,67,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,"ITASCA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,0,81,-1,-1,-1,0,0,80,73,0,73,-1,-1,-1,53,19,94,67,22,78,15,15,92,76,24,100,50,13,100
"'109908",39,22,63,29,14,57,34,16,59,50,31,69,20,20,60,33,17,60,21,11,47,31,12,62,40,22,63,17,17,50,21,9,52,10,0,40,22,7,56,27,15,54,0,0,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,10,51,13,0,25,24,10,59,24,12,51,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45,18,82,.,.,.,45,18,91,45,18,73,.,.,.,5,5,23,-1,-1,-1,0,0,22,11,11,33,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,"MALONE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,7,52,17,0,67,19,5,52,24,14,52,0,0,33,52,26,87,-1,-1,-1,50,13,88,75,38,100,-1,-1,-1
"'109910",31,12,69,27,8,73,38,15,73,28,12,70,20,7,40,34,15,70,25,9,69,41,18,73,33,13,70,29,14,52,8,0,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,0,38,-1,-1,-1,17,0,50,17,0,50,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,0,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,"MOUNT CALM ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,71,21,100,-1,-1,-1,-1,-1,-1,80,0,100,-1,-1,-1
"'109911",48,21,77,45,15,79,43,18,73,51,20,78,58,43,80,48,20,76,45,14,79,43,19,73,50,19,78,57,43,80,33,15,73,26,11,74,33,20,72,33,9,73,45,45,73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,15,73,26,11,74,33,20,72,33,9,73,45,45,73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,15,73,26,11,74,33,20,72,33,9,73,45,45,73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"WHITNEY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,76,27,93,79,21,93,71,47,94,84,16,89,60,20,100
"'109912",56,24,81,54,18,83,58,25,83,59,25,83,47,28,66,54,23,79,52,17,79,55,25,82,56,25,81,46,26,64,27,13,53,33,0,33,22,22,67,25,17,58,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,13,53,33,0,33,22,22,67,25,17,58,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67,33,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,17,8,42,20,0,20,14,14,57,11,11,44,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"AQUILLA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'109913",52,19,80,51,12,81,46,17,80,60,21,83,42,26,72,53,19,81,51,14,81,47,17,80,61,21,83,46,26,74,67,0,83,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67,0,83,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BLUM ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.
"'109914",52,17,79,61,19,84,43,18,74,55,14,80,56,25,84,47,16,73,53,16,76,40,15,67,50,14,73,51,23,80,16,8,32,14,0,43,17,0,25,19,19,31,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,8,32,14,0,43,17,0,25,19,19,31,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,0,25,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,17,10,33,14,0,43,13,0,25,25,25,33,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PENELOPE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'110901",22,6,67,0,0,75,13,0,38,27,0,67,60,40,100,22,6,60,12,0,58,12,2,48,33,9,70,30,18,64,18,0,64,-1,-1,-1,-1,-1,-1,20,0,80,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,5,52,-1,-1,-1,0,0,0,33,11,89,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,"ANTON ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,0,64,-1,-1,-1,-1,-1,-1,20,0,80,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'110902",40,15,74,41,15,79,34,12,73,44,17,73,45,22,76,40,15,74,42,15,79,33,12,72,43,16,73,44,22,77,24,7,67,25,4,71,25,10,71,25,5,60,16,6,78,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,9,69,36,5,72,24,9,69,32,11,66,16,6,78,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,9,65,33,6,72,18,2,59,35,18,67,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,21,7,66,20,4,68,24,10,71,22,5,59,10,7,76,59,24,92,67,11,78,43,29,93,71,29,100,.,.,.,"LEVELLAND ISD",28,9,65,33,6,72,18,2,59,35,18,67,.,.,.,67,0,92,-1,-1,-1,-1,-1,-1,80,0,80,-1,-1,-1,86,36,99,100,40,100,75,44,94,83,13,100,88,65,100
"'110905",60,27,88,61,17,86,52,24,90,68,33,89,56,33,82,60,27,87,61,17,85,51,23,89,68,32,88,56,33,82,36,7,57,-1,-1,-1,20,20,40,33,0,67,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,7,57,-1,-1,-1,20,20,40,33,0,67,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,7,57,-1,-1,-1,20,20,40,33,0,67,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ROPES ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'110906",53,23,79,40,12,78,48,21,75,62,28,85,57,32,75,52,23,79,38,12,77,47,20,75,61,27,84,53,31,76,14,4,64,0,0,40,11,0,56,27,9,73,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,4,64,0,0,40,11,0,56,27,9,73,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,4,64,0,0,40,11,0,56,27,9,73,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SMYER ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,61,26,96,40,20,100,71,29,100,75,25,100,-1,-1,-1
"'110907",71,32,92,66,12,90,73,38,94,72,35,93,65,33,88,69,32,91,65,13,89,71,37,94,71,35,92,64,33,85,38,22,68,33,17,67,46,31,77,40,20,73,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38,22,68,33,17,67,46,31,77,40,20,73,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,40,23,71,33,17,67,46,31,77,43,21,79,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SUNDOWN ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,88,47,100,-1,-1,-1,60,20,100,100,67,100,-1,-1,-1
"'110908",60,27,86,65,27,90,52,20,83,65,28,87,64,44,89,60,27,86,65,27,90,51,20,81,64,28,87,64,44,89,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"WHITHARRAL ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'111801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LAKE GRANBURY ACADEMY CHARTER SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'111901",57,29,82,59,29,86,50,25,80,61,30,82,59,38,84,55,27,81,56,27,83,49,24,79,59,28,81,56,36,81,28,10,63,27,6,63,28,12,66,30,9,62,19,10,50,44,19,73,19,5,51,57,22,86,48,24,72,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,12,64,25,7,60,34,15,69,33,12,64,20,10,51,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,31,79,.,.,.,62,35,77,38,27,81,.,.,.,46,22,74,19,5,51,58,26,83,45,25,75,.,.,.,38,16,70,39,22,57,43,17,74,33,14,70,.,.,.,25,8,61,24,3,65,23,10,63,30,8,60,19,10,50,34,11,57,29,14,43,33,8,75,36,14,43,-1,-1,-1,"GRANBURY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,73,34,90,78,44,89,67,30,90,78,26,89,67,42,94
"'111902",58,27,85,61,25,86,48,22,83,64,31,85,61,36,86,57,26,83,58,24,85,47,20,81,63,29,84,61,35,85,25,0,50,0,0,60,25,0,42,31,0,54,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,0,48,-1,-1,-1,27,0,45,25,0,50,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,0,43,0,0,60,27,0,36,27,0,45,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LIPAN ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
"'111903",62,29,87,67,33,90,55,23,87,64,28,85,67,40,89,61,28,86,66,33,89,54,23,87,64,28,84,67,40,89,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"TOLAR ISD",-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.
"'112901",53,27,78,57,27,81,49,26,78,54,27,76,54,37,80,50,25,76,53,24,79,47,24,77,51,24,73,51,33,78,30,11,63,23,6,67,39,16,69,25,9,58,28,10,59,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,11,62,26,8,64,35,13,67,26,10,58,27,9,59,19,9,54,.,.,.,16,0,49,22,19,59,.,.,.,25,7,53,.,.,.,29,3,62,21,12,44,.,.,.,29,10,63,30,12,58,27,5,65,30,14,63,.,.,.,0,0,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,10,62,21,7,68,40,16,68,23,8,58,21,7,49,34,16,66,-1,-1,-1,33,17,67,27,13,53,-1,-1,-1,"SULPHUR SPRINGS ISD",38,12,77,30,12,58,36,12,88,48,12,85,.,.,.,37,14,67,35,6,65,38,16,71,33,12,59,50,20,90,77,35,96,73,30,95,85,50,100,80,30,95,66,34,95
"'112905",43,18,72,41,16,76,34,17,66,50,18,75,48,21,77,42,17,72,42,15,76,33,17,65,48,17,74,50,24,78,18,0,59,-1,-1,-1,11,0,56,11,0,56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,0,54,-1,-1,-1,9,0,55,9,0,45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,0,59,-1,-1,-1,11,0,56,11,0,56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,"CUMBY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'112906",53,25,80,48,17,82,48,22,83,58,26,77,61,39,80,51,23,79,46,17,80,46,21,83,54,24,75,60,36,81,32,11,71,28,11,67,26,13,79,32,11,64,60,10,80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,12,73,32,11,68,29,12,80,32,10,66,64,18,82,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,15,78,33,17,83,24,16,84,33,15,70,-1,-1,-1,33,7,63,25,8,58,29,7,71,30,5,55,63,13,75,71,14,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"NORTH HOPKINS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,88,63,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'112907",57,21,86,40,7,77,52,19,89,68,31,90,54,8,65,55,20,85,36,6,75,50,18,88,67,30,90,54,7,68,20,4,80,0,0,67,25,0,75,30,10,90,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,4,80,0,0,67,25,0,75,30,10,90,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,0,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,20,5,90,0,0,80,17,0,83,38,13,100,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MILLER GROVE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,13,87,-1,-1,-1,20,20,80,100,17,100,-1,-1,-1
"'112908",50,22,79,49,19,79,41,20,76,60,26,84,45,23,71,44,19,75,44,15,72,38,17,72,51,21,80,42,20,68,17,4,59,13,0,38,15,5,55,19,4,67,18,9,64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,6,56,12,0,33,17,6,55,22,7,65,10,5,45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,5,62,16,0,42,17,5,56,20,4,69,33,17,100,17,17,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"COMO-PICKTON CISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,0,45,0,0,20,0,0,43,13,0,50,11,0,56,74,28,97,67,17,94,78,37,100,71,26,97,88,25,88
"'112909",52,19,86,44,18,86,55,16,91,57,19,88,42,26,65,52,18,86,43,18,85,57,17,88,56,18,90,36,22,61,43,8,78,13,0,75,63,16,74,45,5,95,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43,8,78,13,0,75,63,16,74,45,5,95,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,8,80,13,0,75,63,16,74,47,5,100,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SALTILLO ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,91,55,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
