All Grades Science,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019 2018,SDA00AC01S19R SDA00AC01S18R,RDA00AC01S19R RDA00AC01S18R,DDA00AC01S19R DDA00AC01S18R,"DDU00AC01S19R DDU00AC01S18R
:unselected:","DDJ00AC01S19R DDJ00AC01S18R
:unselected:",DDK00AC01S19R DDK00AC01S18R,DDQ00AC01S19R DDQ00AC01S18R,DDT00AC01S19R DDT00AC01S18R,DDC00AC01S19R DDC00AC01S18R,DDX00AC01S19R DDX00AC01S18R,DDY00AC01S19R DDY00AC01S18R,DDZ00AC01S19R DDZ00AC01S18R,DD500AC01S19R DD500AC01S18R,DDL00AC01S19R DDL00AC01S18R,,,
At Meets Grade Level or Above,2019 2018,SDA00AC01219R SDA00AC01218R,RDA00AC01219R RDA00AC01218R,DDA00AC01219R DDA00AC01218R,"DDU00AC01219R DDU00AC01218R
:unselected: :unselected:","DDJ00AC01219R DDJ00AC01218R
:unselected:",DDK00AC01219R DDK00AC01218R,"DDQ00AC01219R DDQ00AC01218R
:unselected:","DDT00AC01219R DDT00AC01218R
:unselected:",DDC00AC01219R DDC00AC01218R,DDX00AC01219R DDX00AC01218R,DDY00AC01219R DDY00AC01218R,DDZ00AC01219R DDZ00AC01218R,DD500AC01219R DD500AC01218R,DDL00AC01219R DDL00AC01218R,,,
At Masters Grade Level,2019 2018,SDA00AC01319R SDA00AC01318R,RDA00AC01319R RDA00AC01318R,DDA00AC01319R DDA00AC01318R,"DDU00AC01319R DDU00AC01318R
:unselected:","DDJ00AC01319R DDJ00AC01318R
:unselected:","DDK00AC01319R DDK00AC01318R
:unselected:","DDQ00AC01319R DDQ00AC01318R
:unselected:",DDT00AC01319R DDT00AC01318R,DDC00AC01319R DDC00AC01318R,DDX00AC01319R DDX00AC01318R,DDY00AC01319R DDY00AC01318R,DDZ00AC01319R DDZ00AC01318R,DD500AC01319R DD500AC01318R,DDL00AC01319R DDL00AC01318R,,,
All Grades Social Studies,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019 2018,SDA00AS01S19R SDA00AS01S18R,RDA00AS01S19R RDA00AS01S18R,DDA00AS01S19R DDA00AS01S18R,DDU00AS01S19R DDU00AS01S18R,"DDJ00AS01S19R DDJ00AS01S18R
:unselected:
:unselected:","DDK00AS01S19R DDK00AS01S18R
:unselected:
:unselected:",DDQ00AS01S19R DDQ00AS01S18R,DDT00AS01S19R DDT00AS01S18R,DDC00AS01S19R DDC00AS01S18R,DDX00AS01S19R DDX00AS01S18R,DDY00AS01S19R DDY00AS01S18R,DDZ00AS01S19R DDZ00AS01S18R,DD500AS01S19R DD500AS01S18R,DDL00AS01S19R DDL00AS01S18R,,,
At Meets Grade Level or Above,2019,SDA00AS01219R,RDA00AS01219R,DDA00AS01219R,DDU00AS01219R,DDJ00AS01219R,DDK00AS01219R,DDQ00AS01219R,DDT00AS01219R,DDC00AS01219R,DDX00AS01219R,DDY00AS01219R,DDZ00AS01219R,DD500AS01219R,DDL00AS01219R,,,
,2018,SDA00AS01218R,RDA00AS01218R,DDA00AS01218R,DDU00AS01218R,DDJ00AS01218R,DDK00AS01218R,DDQ00AS01218R,DDT00AS01218R,DDC00AS01218R,DDX00AS01218R,DDY00AS01218R,DDZ00AS01218R,DD500AS01218R,DDL00AS01218R,,,
At Masters Grade Level,2019 2018,SDA00AS01319R SDA00AS01318R,RDA00AS01319R RDA00AS01318R,DDA00AS01319R DDA00AS01318R,DDU00AS01319R DDU00AS01318R,DDJ00AS01319R DDJ00AS01318R,DDK00AS01319R DDK00AS01318R,DDQ00AS01319R DDQ00AS01318R,DDT00AS01319R DDT00AS01318R,DDC00AS01319R DDC00AS01318R,DDX00AS01319R DDX00AS01318R,DDY00AS01319R DDY00AS01318R,DDZ00AS01319R DDZ00AS01318R,DD500AS01319R DD500AS01318R,DDL00AS01319R DDL00AS01318R,,,
,,,,,,,,,,,,,,,,,,
,State,Region ##,District,Bilingual Education,BE-Trans Early Exit,BE-Trans Late Exit,BE-Dual Two-Way,BE-Dual One-Way,ESL,ESL Content,ESL Pull-Out,LEP No Services,LEP With Services,Total EL,,,,
STAAR Progress Measure Percent at Expected or Accelerated Growth,,,,,,,,,,,,,,,,,,
All Grades All Subjects,,,,,,,,,,,,,,,,,,
At Expected or Accelerated leve 2019 2018,SDA00A002G19R SDA00A002G18R,RDA00A002G19R RDA00A002G18R,"DDA00A002G19R DDA00A002G18R
:unselected:","DDU00A002G19R DDU00A002G18R
:unselected:
:unselected:","DDJ00A002G19R DDJ00A002G18R
:unselected:
:unselected:","DDK00A002G19R DDK00A002G18R
:unselected:
:unselected:","DDQ00A002G19R DDQ00A002G18R
:unselected:
:unselected:","DDT00A002G19R DDT00A002G18R
:unselected:
:unselected:",DDC00A002G19R DDC00A002G18R,DDX00A002G19R DDX00A002G18R,DDY00A002G19R DDY00A002G18R,DDZ00A002G19R DDZ00A002G18R,DD500A002G19R DD500A002G18R,DDL00A002G19R DDL00A002G18R,,,,
At Accelerated level 2019 2018,SDA00A002E19R SDA00A002E18R,RDA00A002E19R RDA00A002E18R,"DDA00A002E19R DDA00A002E18R
:unselected:
:unselected:",DDU00A002E19R DDU00A002E18R,"DDJ00A002E19R DDJ00A002E18R
:unselected:
:unselected:","DDK00A002E19R DDK00A002E18R
:unselected:
:unselected:","DDQ00A002E19R DDQ00A002E18R
:unselected:
:unselected:",DDT00A002E19R DDT00A002E18R,DDC00A002E19R DDC00A002E18R,DDX00A002E19R DDX00A002E18R,DDY00A002E19R DDY00A002E18R,DDZ00A002E19R DDZ00A002E18R,DD500A002E19R DD500A002E18R,DDL00A002E19R DDL00A002E18R,,,,
All Grades ELA/Reading,,,,,,,,,,,,,,,,,,
At Expected or Accelerated leve 2019 2018,SDA00AR02G19R SDA00AR02G18R,RDA00AR02G19R RDA00AR02G18R,"DDA00AR02G19R DDA00AR02G18R
:unselected:
:unselected:","DDU00AR02G19R DDU00AR02G18R
:unselected:","DDJ00AR02G19R DDJ00AR02G18R
:unselected:
:unselected:","DDK00AR02G19R DDK00AR02G18R
:unselected:
:unselected:","DDQ00AR02G19R DDQ00AR02G18R
:unselected:",DDT00AR02G19R DDT00AR02G18R,DDC00AR02G19R DDC00AR02G18R,DDX00AR02G19R DDX00AR02G18R,DDY00AR02G19R DDY00AR02G18R,DDZ00AR02G19R DDZ00AR02G18R,DD500AR02G19R DD500AR02G18R,DDL00AR02G19R DDL00AR02G18R,,,,
At Accelerated level 2019 2018 All Grades Mathematics,SDA00AR02E19R SDA00AR02E18R,RDA00AR02E19R RDA00AR02E18R,DDA00AR02E19R DDA00AR02E18R,"DDU00AR02E19R DDU00AR02E18R
:unselected:","DDJ00AR02E19R DDJ00AR02E18R
:unselected:
:unselected:","DDK00AR02E19R DDK00AR02E18R
:unselected:
:unselected:",DDQ00AR02E19R DDQ00AR02E18R,DDT00AR02E19R DDT00AR02E18R,DDC00AR02E19R DDC00AR02E18R,DDX00AR02E19R DDX00AR02E18R,DDY00AR02E19R DDY00AR02E18R,DDZ00AR02E19R DDZ00AR02E18R,DD500AR02E19R DD500AR02E18R,DDL00AR02E19R DDL00AR02E18R,,,,
At Expected or Accelerated leve 2019 2018,SDA00AM02G19R SDA00AM02G18R,RDA00AM02G19R RDA00AM02G18R,DDA00AM02G19R DDA00AM02G18R,"DDU00AM02G19R DDU00AM02G18R
:unselected:",DDJ00AM02G19R DDJ00AM02G18R,DDK00AM02G19R DDK00AM02G18R,DDQ00AM02G19R DDQ00AM02G18R,DDT00AM02G19R DDT00AM02G18R,DDC00AM02G19R DDC00AM02G18R,DDX00AM02G19R DDX00AM02G18R,DDY00AM02G19R DDY00AM02G18R,DDZ00AM02G19R DDZ00AM02G18R,DD500AM02G19R DD500AM02G18R,"DDL00AM02G19R DDL00AM02G18R
:unselected:",,,,
At Accelerated level 2019 2018,SDA00AM02E19R SDA00AM02E18R,RDA00AM02E19R RDA00AM02E18R,DDA00AM02E19R DDA00AM02E18R,DDU00AM02E19R DDU00AM02E18R,DDJ00AM02E19R DDJ00AM02E18R,DDK00AM02E19R DDK00AM02E18R,DDQ00AM02E19R DDQ00AM02E18R,DDT00AM02E19R DDT00AM02E18R,DDC00AM02E19R DDC00AM02E18R,DDX00AM02E19R DDX00AM02E18R,DDY00AM02E19R DDY00AM02E18R,DDZ00AM02E19R DDZ00AM02E18R,DD500AM02E19R DD500AM02E18R,DDL00AM02E19R DDL00AM02E18R,,,,
Progress of Prior Year STAAR Non-Proficient Students (Percent of Non-Proficient Passing STAAR),,,,,,,,,,,,,,,,,,
Reading 2019,SA408FR19R,RA408FR19R,DA408FR19R,"DU408FR19R
:unselected:","DJ408FR19R
:unselected:","DK408FR19R
:unselected:",DQ408FR19R,DT408FR19R,DC408FR19R,"DX408FR19R
:unselected:",DY408FR19R,"DZ408FR19R
:unselected:","D5408FR19R
:unselected:","DL408FR19R
:unselected:",,,,
2018 Mathematics 2019 2018,SA408FR18R SA408FM19R SA408FM18R,RA408FR18R RA408FM19R RA408FM18R,DA408FR18R DA408FM19R DA408FM18R,"DU408FR18R DU408FM19R DU408FM18R
:unselected:
:unselected:",DJ408FR18R DJ408FM19R DJ408FM18R,"DK408FR18R DK408FM19R DK408FM18R
:unselected:",DQ408FR18R DQ408FM19R DQ408FM18R,DT408FR18R DT408FM19R DT408FM18R,DC408FR18R DC408FM19R DC408FM18R,"DX408FR18R DX408FM19R DX408FM18R
:unselected:","DY408FR18R DY408FM19R DY408FM18R
:unselected:
:unselected:","DZ408FR18R DZ408FM19R DZ408FM18R
:unselected:","D5408FR18R D5408FM19R D5408FM18R
:unselected:","DL408FR18R DL408FM19R DL408FM18R
:unselected: :unselected:",,,,
,,,,,,,,,,,,,,,,,,
,State,Region ##,District,,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,EL (Current),,,,
2019 STAAR Participation (All Grades),,,,,,,,,,,,,,,,,,
All Tests,,,,,,,,,,,,,,,,,,
Assessment Participant Included in Accountability Not Included in Accountability,SDA00A00T019R SDAYAA00T019R,"RDA00A00T019R
RDAYAA00T019R","DDA00A00T019R
DDAYAA00T019R
:unselected:
:unselected:",,"DDB00A00T019R
DDBYAA00T019R
:unselected:
:unselected:","DDH00A00T019R
DDHYAA00T019R
:unselected: :unselected:
:unselected: :unselected:","DDW00A00T019R
DDWYAA00T019R","DDI00A00T019R
DDIYAA00T019R
:unselected:
:unselected:","DD300A00T019R DD3YAA00T019R
:unselected:
:unselected:",DD400A00T019R DD4YAA00T019R,DD200A00T019R DD2YAA00T019R,"DDS00A00T019R
DDSYAA00T019R","DDE00A00T019R
DDEYAA00T019R","DDL00A00T019R
DDLYAA00T019R",,,,
Mobile Other Exclusions,"SDAYXA00T019R
SDAYMA00T019R","RDAYMA00T019R
RDAYXA00T019R","DDAYMA00T019R
DDAYXA00T019R
:unselected:
:unselected:",,"DDBYMA00T019R
DDBYXA00T019R
:unselected:
:unselected:","DDHYMA00T019R
DDHYXA00T019R
:unselected: :unselected:
:unselected: :unselected:","DDWYMA00T019R
DDWYXA00T019R","DDIYMA00T019R
DDIYXA00T019R","DD3YXA00T019R
DD3YMA00T019R
:unselected:
:unselected:","DD4YXA00T019R
DD4YMA00T019R","DD2YXA00T019R
DD2YMA00T019R","DDSYMA00T019R
DDSYXA00T019R","DDEYMA00T019R
DDEYXA00T019R","DDLYMA00T019R
DDLYXA00T019R",,,,
Not Tested Absent Other,"SDANTA00T019R
SDANAA00T019R
SDANOA00T019R","RDANTA00T019R
RDANAA00T019R
RDANOA00T019R","DDANTA00T019R
DDANAA00T019R
DDANOA00T019R
:unselected:
:unselected:
:unselected:",,"DDBNTA00T019R
DDBNAA00T019R
DDBNOA00T019R
:unselected:
:unselected:
:unselected:","DDHNTA00T019R
DDHNAA00T019R
DDHNOA00T019R
:unselected: :unselected:
:unselected: :unselected:
:unselected: :unselected:","DDWNTA00T019R
DDWNAA00T019R
DDWNOA00T019R","DDINTA00T019R
DDINAA00T019R
DDINOA00T019R","DD3NTA00T019R DD3NAA00T019R
DD3NOA00T019R
:unselected:
:unselected:
:unselected:","DD4NTA00T019R DD4NAA00T019R
DD4NOA00T019R","DD2NTA00T019R DD2NAA00T019R
DD2NOA00T019R","DDSNTA00T019R
DDSNAA00T019R
DDSNOA00T019R","DDENTA00T019R
DDENAA00T019R
DDENOA00T019R","DDLNTA00T019R
DDLNAA00T019R
DDLNOA00T019R",,,,
2018 STAAR Participation (All Grades),,,,,,,,,,,,,,,,,,
All Tests,,,,,,,,,,,,,,,,,,
Assessment Participant Included in Accountability Not Included in Accountability,SDA00A00T018R SDAYAA00T018R,"RDA00A00T018R
RDAYAA00T018R","DDA00A00T018R
DDAYAA00T018R
:unselected:
:unselected:",,"DDB00A00T018R
DDBYAA00T018R
:unselected:
:unselected:","DDH00A00T018R
DDHYAA00T018R
:unselected: :unselected:
:unselected: :unselected:","DDW00A00T018R
DDWYAA00T018R","DDI00A00T018R
DDIYAA00T018R","DD300A00T018R DD3YAA00T018R
:unselected:
:unselected:",DD400A00T018R DD4YAA00T018R,DD200A00T018R DD2YAA00T018R,"DDS00A00T018R
DDSYAA00T018R","DDE00A00T018R
DDEYAA00T018R","DDL00A00T018R
DDLYAA00T018R",,,,
Mobile Other Exclusions,"SDAYXA00T018R
SDAYMA00T018R","RDAYMA00T018R
RDAYXA00T018R","DDAYMA00T018R
DDAYXA00T018R
:unselected:
:unselected:",,"DDBYMA00T018R
DDBYXA00T018R
:unselected:
:unselected:","DDHYMA00T018R
DDHYXA00T018R
:unselected: :unselected:
:unselected: :unselected:","DDWYMA00T018R
DDWYXA00T018R","DDIYMA00T018R
DDIYXA00T018R","DD3YXA00T018R
DD3YMA00T018R
:unselected:","DD4YXA00T018R
DD4YMA00T018R","DD2YXA00T018R
DD2YMA00T018R","DDSYMA00T018R
DDSYXA00T018R","DDEYMA00T018R
DDEYXA00T018R","DDLYMA00T018R
DDLYXA00T018R",,,,
Not Tested Absent,"SDANTA00T018R
SDANAA00T018R","RDANTA00T018R
RDANAA00T018R","DDANTA00T018R
DDANAA00T018R
:unselected:
:unselected:",,"DDBNTA00T018R
DDBNAA00T018R
:unselected:
:unselected:","DDHNTA00T018R
DDHNAA00T018R
:unselected: :unselected:
:unselected: :unselected:","DDWNTA00T018R
DDWNAA00T018R","DDINTA00T018R
DDINAA00T018R",DD3NTA00T018R DD3NAA00T018R,DD4NTA00T018R DD4NAA00T018R,DD2NTA00T018R DD2NAA00T018R,"DDSNTA00T018R
DDSNAA00T018R","DDENTA00T018R
DDENAA00T018R","DDLNTA00T018R
DDLNAA00T018R",,,,
Other,SDANOA00T018R,RDANOA00T018R,"DDANOA00T018R
:unselected:",,"DDBNOA00T018R
:unselected:","DDHNOA00T018R
:unselected: :unselected:",DDWNOA00T018R,DDINOA00T018R,DD3NOA00T018R,DD4NOA00T018R,DD2NOA00T018R,DDSNOA00T018R,DDENOA00T018R,DDLNOA00T018R,,,,
,,,,,,,,,,,,,,,,,,
,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,EL (Current),,,,,
Attendance Rate,,,,,,,,,,,,,,,,,,
2017-18,SA0AT18R,RA0AT18R,DA0AT18R,DB0AT18R,DH0AT18R,DW0AT18R,DI0AT18R,D30AT18R,D40AT18R,D20AT18R,DS0AT18R,DE0AT18R,DL0AT18R,,,,,
2016-17,SA0AT17R,RA0AT17R,DA0AT17R,DB0AT17R,DH0AT17R,DW0AT17R,DI0AT17R,D30AT17R,D40AT17R,D20AT17R,DS0AT17R,DE0AT17R,DL0AT17R,,,,,
Annual Dropout Rate (Gr 7-8),,,,,,,,,,,,,,,,,,
2017-18,SA0708DR18R,RA0708DR18R,DA0708DR18R,DB0708DR18R,DH0708DR18R,DW0708DR18R,DI0708DR18R,D30708DR18R,D40708DR18R,D20708DR18R,DS0708DR18R,DE0708DR18R,DL0708DR18R,,,,,
2016-17,SA0708DR17R,RA0708DR17R,DA0708DR17R,DB0708DR17R,DH0708DR17R,DW0708DR17R,DI0708DR17R,D30708DR17R,D40708DR17R,D20708DR17R,DS0708DR17R,DE0708DR17R,DL0708DR17R,,,,,
Annual Dropout Rate (Gr 9-12),,,,,,,,,,,,,,,,,,
2017-18 2016-17,SA0912DR18R SA0912DR17R,RA0912DR18R RA0912DR17R,DA0912DR18R DA0912DR17R,DB0912DR18R DB0912DR17R,"DH0912DR18R
DH0912DR17R","DW0912DR18R
DW0912DR17R",DI0912DR18R DI0912DR17R,D30912DR18R D30912DR17R,D40912DR18R D40912DR17R,D20912DR18R D20912DR17R,DS0912DR18R DS0912DR17R,"DE0912DR18R
DE0912DR17R","DL0912DR18R
DL0912DR17R",,,,,
4-Year Longitudinal Rate (Gr 9-12),,,,,,,,,,,,,,,,,,
Class of 2018,,,,,,,,,,,,,,,,,,
Graduated,SAGC418R,RAGC418R,DAGC4X18R,DBGC4X18R,DHGC4X18R,DWGC4X18R,DIGC4X18R,D3GC4X18R,D4GC4X18R,D2GC4X18R,DSGC4X18R,DEGC4X18R,DLGC4X18R,,,,,
Received TxCHSE,SAEC418R,RAEC418R,DAEC4X18R,DBEC4X18R,DHEC4X18R,DWEC4X18R,DIEC4X18R,D3EC4X18R,D4EC4X18R,D2EC4X18R,DSEC4X18R,DEEC4X18R,DLEC4X18R,,,,,
Continued HS,SANC418R,RANC418R,DANC4X18R,DBNC4X18R,DHNC4X18R,DWNC4X18R,DINC4X18R,D3NC4X18R,D4NC4X18R,D2NC4X18R,DSNC4X18R,DENC4X18R,DLNC4X18R,,,,,
Dropped Out,SADC418R,RADC418R,DADC4X18R,DBDC4X18R,DHDC4X18R,DWDC4X18R,DIDC4X18R,D3DC4X18R,D4DC4X18R,D2DC4X18R,DSDC4X18R,DEDC4X18R,DLDC4X18R,,,,,
Graduates and TxCHSE,SA3C418R,RA3C418R,DA3C4X18R,DB3C4X18R,DH3C4X18R,DW3C4X18R,DI3C4X18R,D33C4X18R,D43C4X18R,D23C4X18R,DS3C4X18R,DE3C4X18R,DL3C4X18R,,,,,
"Grads, TxCHSE, & Cont",SA2C418R,RA2C418R,DA2C4X18R,DB2C4X18R,DH2C4X18R,DW2C4X18R,DI2C4X18R,D32C4X18R,D42C4X18R,D22C4X18R,DS2C4X18R,DE2C4X18R,DL2C4X18R,,,,,
Class of 2017,,,,,,,,,,,,,,,,,,
Graduated,SAGC417R,RAGC417R,DAGC4X17R,DBGC4X17R,DHGC4X17R,DWGC4X17R,DIGC4X17R,D3GC4X17R,D4GC4X17R,D2GC4X17R,DSGC4X17R,DEGC4X17R,DLGC4X17R,,,,,
Received TxCHSE,SAEC417R,RAEC417R,DAEC4X17R,DBEC4X17R,DHEC4X17R,DWEC4X17R,DIEC4X17R,D3EC4X17R,D4EC4X17R,D2EC4X17R,DSEC4X17R,DEEC4X17R,DLEC4X17R,,,,,
Continued HS,SANC417R,RANC417R,DANC4X17R,DBNC4X17R,DHNC4X17R,DWNC4X17R,DINC4X17R,D3NC4X17R,D4NC4X17R,D2NC4X17R,DSNC4X17R,DENC4X17R,DLNC4X17R,,,,,
Dropped Out,SADC417R,RADC417R,DADC4X17R,DBDC4X17R,DHDC4X17R,DWDC4X17R,DIDC4X17R,D3DC4X17R,D4DC4X17R,D2DC4X17R,DSDC4X17R,DEDC4X17R,DLDC4X17R,,,,,
"Graduates and TxCHSE Grads, TxCHSE, & Cont",SA3C417R SA2C417R,RA3C417R RA2C417R,DA3C4X17R DA2C4X17R,DB3C4X17R DB2C4X17R,DH3C4X17R DH2C4X17R,DW3C4X17R DW2C4X17R,DI3C4X17R DI2C4X17R,D33C4X17R D32C4X17R,D43C4X17R D42C4X17R,D23C4X17R D22C4X17R,DS3C4X17R DS2C4X17R,DE3C4X17R DE2C4X17R,DL3C4X17R DL2C4X17R,,,,,
5-Year Extended Longitudinal Rate (Gr 9-12),,,,,,,,,,,,,,,,,,
Class of 2017,,,,,,,,,,,,,,,,,,
Graduated,SAGC517R,RAGC517R,DAGC5X17R,DBGC5X17R,DHGC5X17R,DWGC5X17R,DIGC5X17R,D3GC5X17R,D4GC5X17R,D2GC5X17R,DSGC5X17R,DEGC5X17R,DLGC5X17R,,,,,
Received TxCHSE,SAEC517R,RAEC517R,DAEC5X17R,DBEC5X17R,DHEC5X17R,DWEC5X17R,DIEC5X17R,D3EC5X17R,D4EC5X17R,D2EC5X17R,DSEC5X17R,DEEC5X17R,DLEC5X17R,,,,,
Continued HS,SANC517R,RANC517R,DANC5X17R,DBNC5X17R,DHNC5X17R,DWNC5X17R,DINC5X17R,D3NC5X17R,D4NC5X17R,D2NC5X17R,DSNC5X17R,DENC5X17R,DLNC5X17R,,,,,
Dropped Out,SADC517R,RADC517R,DADC5X17R,DBDC5X17R,DHDC5X17R,DWDC5X17R,DIDC5X17R,D3DC5X17R,D4DC5X17R,D2DC5X17R,DSDC5X17R,DEDC5X17R,DLDC5X17R,,,,,
Graduates and TxCHSE,SA3C517R,RA3C517R,DA3C5X17R,DB3C5X17R,DH3C5X17R,DW3C5X17R,DI3C5X17R,D33C5X17R,D43C5X17R,D23C5X17R,DS3C5X17R,DE3C5X17R,DL3C5X17R,,,,,
"Grads, TxCHSE, & Cont",SA2C517R,RA2C517R,DA2C5X17R,DB2C5X17R,DH2C5X17R,DW2C5X17R,DI2C5X17R,D32C5X17R,D42C5X17R,D22C5X17R,DS2C5X17R,DE2C5X17R,DL2C5X17R,,,,,
Class of 2016,,,,,,,,,,,,,,,,,,
Graduated,SAGC516R,RAGC516R,DAGC5X16R,DBGC5X16R,DHGC5X16R,DWGC5X16R,DIGC5X16R,D3GC5X16R,D4GC5X16R,D2GC5X16R,DSGC5X16R,DEGC5X16R,DLGC5X16R,,,,,
Received TxCHSE,SAEC516R,RAEC516R,DAEC5X16R,DBEC5X16R,DHEC5X16R,DWEC5X16R,DIEC5X16R,D3EC5X16R,D4EC5X16R,D2EC5X16R,DSEC5X16R,DEEC5X16R,DLEC5X16R,,,,,
Continued HS,SANC516R,RANC516R,DANC5X16R,DBNC5X16R,DHNC5X16R,DWNC5X16R,DINC5X16R,D3NC5X16R,D4NC5X16R,D2NC5X16R,DSNC5X16R,DENC5X16R,DLNC5X16R,,,,,
Dropped Out,SADC516R,RADC516R,DADC5X16R,DBDC5X16R,DHDC5X16R,DWDC5X16R,DIDC5X16R,D3DC5X16R,D4DC5X16R,D2DC5X16R,DSDC5X16R,DEDC5X16R,DLDC5X16R,,,,,
Graduates and TxCHSE,SA3C516R,RA3C516R,DA3C5X16R,DB3C5X16R,DH3C5X16R,DW3C5X16R,DI3C5X16R,D33C5X16R,D43C5X16R,D23C5X16R,DS3C5X16R,DE3C5X16R,DL3C5X16R,,,,,
"Grads, TxCHSE, & Cont",SA2C516R,RA2C516R,DA2C5X16R,DB2C5X16R,DH2C5X16R,DW2C5X16R,DI2C5X16R,D32C5X16R,D42C5X16R,D22C5X16R,DS2C5X16R,DE2C5X16R,DL2C5X16R,,,,,
,,,,,,,,,,,,,,,,,,
,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,EL (Current),,,,,
6-Year Extended Longitudinal Rate (Gr 9-12),,,,,,,,,,,,,,,,,,
Class of 2016,,,,,,,,,,,,,,,,,,
Graduated,SAGC616R,RAGC616R,DAGC6X16R,DBGC6X16R,DHGC6X16R,DWGC6X16R,DIGC6X16R,D3GC6X16R,D4GC6X16R,D2GC6X16R,DSGC6X16R,DEGC6X16R,DLGC6X16R,,,,,
Received TxCHSE,SAEC616R,RAEC616R,DAEC6X16R,DBEC6X16R,DHEC6X16R,DWEC6X16R,DIEC6X16R,D3EC6X16R,D4EC6X16R,D2EC6X16R,DSEC6X16R,DEEC6X16R,DLEC6X16R,,,,,
Continued HS,SANC616R,RANC616R,DANC6X16R,DBNC6X16R,DHNC6X16R,DWNC6X16R,DINC6X16R,D3NC6X16R,D4NC6X16R,D2NC6X16R,DSNC6X16R,DENC6X16R,DLNC6X16R,,,,,
Dropped Out,SADC616R,RADC616R,DADC6X16R,DBDC6X16R,DHDC6X16R,DWDC6X16R,DIDC6X16R,D3DC6X16R,D4DC6X16R,D2DC6X16R,DSDC6X16R,DEDC6X16R,DLDC6X16R,,,,,
Graduates and TxCHSE,SA3C616R,RA3C616R,DA3C6X16R,DB3C6X16R,DH3C6X16R,DW3C6X16R,DI3C6X16R,D33C6X16R,D43C6X16R,D23C6X16R,DS3C6X16R,DE3C6X16R,DL3C6X16R,,,,,
"Grads, TxCHSE, & Cont",SA2C616R,RA2C616R,DA2C6X16R,DB2C6X16R,DH2C6X16R,DW2C6X16R,DI2C6X16R,D32C6X16R,D42C6X16R,D22C6X16R,DS2C6X16R,DE2C6X16R,DL2C6X16R,,,,,
Class of 2015,,,,,,,,,,,,,,,,,,
Graduated,SAGC615R,RAGC615R,DAGC6X15R,DBGC6X15R,DHGC6X15R,DWGC6X15R,DIGC6X15R,D3GC6X15R,D4GC6X15R,D2GC6X15R,DSGC6X15R,DEGC6X15R,DLGC6X15R,,,,,
Received TxCHSE Continued HS,SAEC615R SANC615R,RAEC615R RANC615R,DAEC6X15R DANC6X15R,DBEC6X15R DBNC6X15R,DHEC6X15R DHNC6X15R,DWEC6X15R DWNC6X15R,DIEC6X15R DINC6X15R,D3EC6X15R D3NC6X15R,D4EC6X15R D4NC6X15R,D2EC6X15R D2NC6X15R,DSEC6X15R DSNC6X15R,DEEC6X15R DENC6X15R,DLEC6X15R DLNC6X15R,,,,,
Dropped Out,SADC615R,RADC615R,DADC6X15R,DBDC6X15R,DHDC6X15R,DWDC6X15R,DIDC6X15R,D3DC6X15R,D4DC6X15R,D2DC6X15R,DSDC6X15R,DEDC6X15R,DLDC6X15R,,,,,
Graduates and TxCHSE,SA3C615R,RA3C615R,DA3C6X15R,DB3C6X15R,DH3C6X15R,DW3C6X15R,DI3C6X15R,D33C6X15R,D43C6X15R,D23C6X15R,DS3C6X15R,DE3C6X15R,DL3C6X15R,,,,,
"Grads, TxCHSE, & Cont",SA2C615R,RA2C615R,DA2C6X15R,DB2C6X15R,DH2C6X15R,DW2C6X15R,DI2C6X15R,D32C6X15R,D42C6X15R,D22C6X15R,DS2C6X15R,DE2C6X15R,DL2C6X15R,,,,,
4-Year Federal Graduation Rate Without Exclusions (Gr 9-12),,,,,,,,,,,,,,,,,,
Class of 2018 Class of 2017,SAGC418R SAGC417R,RAGC418R RAGC417R,DAGC418R DAGC417R,DBGC418R DBGC417R,DHGC418R DHGC417R,DWGC418R DWGC417R,DIGC418R DIGC417R,D3GC418R D3GC417R,D4GC418R D4GC417R,D2GC418R D2GC417R,DSGC418R DSGC417R,DEGC418R DEGC417R,DLGC418R DLGC417R,,,,,
RHSP/DAP Graduates (Longitudinal Rate),,,,,,,,,,,,,,,,,,
Class of 2018,SARC418R,RARC418R,DARC4X18R,DBRC4X18R,DHRC4X18R,DWRC4X18R,DIRC4X18R,D3RC4X18R,D4RC4X18R,D2RC4X18R,DSRC4X18R,DERC4X18R,DLRC4X18R,,,,,
Class of 2017,SARC417R,RARC417R,DARC4X17R,DBRC4X17R,DHRC4X17R,DWRC4X17R,DIRC4X17R,D3RC4X17R,D4RC4X17R,D2RC4X17R,DSRC4X17R,DERC4X17R,DLRC4X17R,,,,,
FHSP-E Graduates (Longitudinal Rate),,,,,,,,,,,,,,,,,,
