,,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,EL,
"STAAR Performance Rates by Tested Grade, Subject, and Performance Levels^ Grade 3 Reading",,,,,,,,,,,,,,,
At Meets Grade Level or Above,2018,SDA07AMA1218R,DDA07AMA1218R,CDA07AMA1218R,CDB07AMA1218R,CDH07AMA1218R,CDW07AMA1218R,CDI07AMA1218R,CD307AMA1218R,CD407AMA1218R,CD207AMA1218R,CDS07AMA1218R,CDE07AMA1218R,CDL07AMA1218R,
,2017,SDA07AMA1217R,DDA07AMA1217R,CDA07AMA1217R,CDB07AMA1217R,CDH07AMA1217R,CDW07AMA1217R,CDI07AMA1217R,CD307AMA1217R,CD407AMA1217R,CD207AMA1217R,CDS07AMA1217R,CDE07AMA1217R,CDL07AMA1217R,
At Masters Grade Level or Above,2018,SDA07AMA1318R,DDA07AMA1318R,CDA07AMA1318R,CDB07AMA1318R,CDH07AMA1318R,CDW07AMA1318R,CDI07AMA1318R,CD307AMA1318R,CD407AMA1318R,CD207AMA1318R,CDS07AMA1318R,CDE07AMA1318R,CDL07AMA1318R,
,2017,SDA07AMA1317R,DDA07AMA1317R,CDA07AMA1317R,CDB07AMA1317R,CDH07AMA1317R,CDW07AMA1317R,CDI07AMA1317R,CD307AMA1317R,CD407AMA1317R,CD207AMA1317R,CDS07AMA1317R,CDE07AMA1317R,CDL07AMA1317R,
Grade 7 Writing,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA07AWR1S18R,DDA07AWR1S18R,CDA07AWR1S18R,CDB07AWR1S18R,CDH07AWR1S18R,CDW07AWR1S18R,CDI07AWR1S18R,CD307AWR1S18R,CD407AWR1S18R,CD207AWR1S18R,CDS07AWR1S18R,CDE07AWR1S18R,CDL07AWR1S18R,
,2017,SDA07AWR1S17R,DDA07AWR1S17R,CDA07AWR1S17R,CDB07AWR1S17R,CDH07AWR1S17R,CDW07AWR1S17R,CDI07AWR1S17R,CD307AWR1S17R,CD407AWR1S17R,CD207AWR1S17R,CDS07AWR1S17R,CDE07AWR1S17R,CDL07AWR1S17R,
At Meets Grade Level or Above,2018,SDA07AWR1218R,DDA07AWR1218R,CDA07AWR1218R,CDB07AWR1218R,CDH07AWR1218R,CDW07AWR1218R,CDI07AWR1218R,CD307AWR1218R,CD407AWR1218R,CD207AWR1218R,CDS07AWR1218R,CDE07AWR1218R,CDL07AWR1218R,
,2017,SDA07AWR1217R,DDA07AWR1217R,CDA07AWR1217R,CDB07AWR1217R,CDH07AWR1217R,CDW07AWR1217R,CDI07AWR1217R,CD307AWR1217R,CD407AWR1217R,CD207AWR1217R,CDS07AWR1217R,CDE07AWR1217R,CDL07AWR1217R,
At Masters Grade Level or Above,2018,SDA07AWR1318R,DDA07AWR1318R,CDA07AWR1318R,CDB07AWR1318R,CDH07AWR1318R,CDW07AWR1318R,CDI07AWR1318R,CD307AWR1318R,CD407AWR1318R,CD207AWR1318R,CDS07AWR1318R,CDE07AWR1318R,CDL07AWR1318R,
